"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","MEASURES_NAME","DURATION_NAME","SEX_NAME","OBS_VALUE","OBS_STATUS_NAME"
"August 2017","Solihull","E08000029","Value","total","Total",5910,"Normal Value"
"August 2017","Walsall","E08000030","Value","total","Total",12420,"Normal Value"
"August 2017","Wolverhampton","E08000031","Value","total","Total",12140,"Normal Value"
"August 2017","Worcestershire","E10000034","Value","total","Total",17480,"Normal Value"
"August 2017","Bedford","E06000055","Value","total","Total",4600,"Normal Value"
"August 2017","Central Bedfordshire","E06000056","Value","total","Total",5930,"Normal Value"
"August 2017","Luton","E06000032","Value","total","Total",7330,"Normal Value"
"August 2017","Peterborough","E06000031","Value","total","Total",8400,"Normal Value"
"August 2017","Southend-on-Sea","E06000033","Value","total","Total",7020,"Normal Value"
"August 2017","Thurrock","E06000034","Value","total","Total",4740,"Normal Value"
"August 2017","Cambridgeshire","E10000003","Value","total","Total",16300,"Normal Value"
"August 2017","Essex","E10000012","Value","total","Total",40090,"Normal Value"
"August 2017","Hertfordshire","E10000015","Value","total","Total",27110,"Normal Value"
"August 2017","Norfolk","E10000020","Value","total","Total",30550,"Normal Value"
"August 2017","Suffolk","E10000029","Value","total","Total",21060,"Normal Value"
"August 2017","Camden","E09000007","Value","total","Total",9780,"Normal Value"
"August 2017","City of London","E09000001","Value","total","Total",140,"Normal Value"
"August 2017","Hackney","E09000012","Value","total","Total",12700,"Normal Value"
"August 2017","Hammersmith and Fulham","E09000013","Value","total","Total",5710,"Normal Value"
"August 2017","Haringey","E09000014","Value","total","Total",10790,"Normal Value"
"August 2017","Islington","E09000019","Value","total","Total",11630,"Normal Value"
"August 2017","Kensington and Chelsea","E09000020","Value","total","Total",5170,"Normal Value"
"August 2017","Lambeth","E09000022","Value","total","Total",11730,"Normal Value"
"August 2017","Lewisham","E09000023","Value","total","Total",11350,"Normal Value"
"August 2017","Newham","E09000025","Value","total","Total",11240,"Normal Value"
"August 2017","Southwark","E09000028","Value","total","Total",9990,"Normal Value"
"August 2017","Tower Hamlets","E09000030","Value","total","Total",10710,"Normal Value"
"August 2017","Wandsworth","E09000032","Value","total","Total",8220,"Normal Value"
"August 2017","Westminster","E09000033","Value","total","Total",9040,"Normal Value"
"August 2017","Barking and Dagenham","E09000002","Value","total","Total",7550,"Normal Value"
"August 2017","Barnet","E09000003","Value","total","Total",9840,"Normal Value"
"August 2017","Bexley","E09000004","Value","total","Total",6360,"Normal Value"
"August 2017","Brent","E09000005","Value","total","Total",10600,"Normal Value"
"August 2017","Bromley","E09000006","Value","total","Total",7910,"Normal Value"
"August 2017","Croydon","E09000008","Value","total","Total",9490,"Normal Value"
"August 2017","Ealing","E09000009","Value","total","Total",10480,"Normal Value"
"August 2017","Enfield","E09000010","Value","total","Total",11120,"Normal Value"
"August 2017","Greenwich","E09000011","Value","total","Total",10360,"Normal Value"
"August 2017","Harrow","E09000015","Value","total","Total",5640,"Normal Value"
"August 2017","Havering","E09000016","Value","total","Total",6390,"Normal Value"
"August 2017","Hillingdon","E09000017","Value","total","Total",7530,"Normal Value"
"August 2017","Hounslow","E09000018","Value","total","Total",5860,"Normal Value"
"August 2017","Kingston upon Thames","E09000021","Value","total","Total",3470,"Normal Value"
"August 2017","Merton","E09000024","Value","total","Total",4410,"Normal Value"
"August 2017","Redbridge","E09000026","Value","total","Total",7100,"Normal Value"
"August 2017","Richmond upon Thames","E09000027","Value","total","Total",3510,"Normal Value"
"August 2017","Sutton","E09000029","Value","total","Total",3850,"Normal Value"
"August 2017","Waltham Forest","E09000031","Value","total","Total",8620,"Normal Value"
"August 2017","Bracknell Forest","E06000036","Value","total","Total",2340,"Normal Value"
"August 2017","Brighton and Hove","E06000043","Value","total","Total",12280,"Normal Value"
"August 2017","Isle of Wight","E06000046","Value","total","Total",5670,"Normal Value"
"August 2017","Medway","E06000035","Value","total","Total",9400,"Normal Value"
"August 2017","Milton Keynes","E06000042","Value","total","Total",7500,"Normal Value"
"August 2017","Portsmouth","E06000044","Value","total","Total",7760,"Normal Value"
"August 2017","Reading","E06000038","Value","total","Total",4670,"Normal Value"
"August 2017","Slough","E06000039","Value","total","Total",4080,"Normal Value"
"August 2017","Southampton","E06000045","Value","total","Total",8830,"Normal Value"
"August 2017","West Berkshire","E06000037","Value","total","Total",3000,"Normal Value"
"August 2017","Windsor and Maidenhead","E06000040","Value","total","Total",2300,"Normal Value"
"August 2017","Wokingham","E06000041","Value","total","Total",2140,"Normal Value"
"August 2017","Buckinghamshire","E10000002","Value","total","Total",9600,"Normal Value"
"August 2017","East Sussex","E10000011","Value","total","Total",18970,"Normal Value"
"August 2017","Hampshire","E10000014","Value","total","Total",31030,"Normal Value"
"August 2017","Kent","E10000016","Value","total","Total",44770,"Normal Value"
"August 2017","Oxfordshire","E10000025","Value","total","Total",13900,"Normal Value"
