ZoneSystem,ZoneID,Forecast,Year,Jobs,TotalPopn,HH,PopWorkAge,PopPensionAge,EcActive,In_GLA
Railplan,"4,466",GLA,"2,011",869,458,188,279,201,279,TRUE
Railplan,"4,467",GLA,"2,011",920,502,204,293,205,293,TRUE
Railplan,"4,468",GLA,"2,011",387,"3,736","1,507","2,361",0,0,FALSE
Railplan,"4,469",GLA,"2,011","1,261","3,934","1,600","2,371",0,0,FALSE
Railplan,"4,470",GLA,"2,011","1,494","3,323","1,426","2,324",0,0,FALSE
Railplan,"4,471",GLA,"2,011","5,642","3,204","1,376","2,241",0,0,FALSE
Railplan,"4,472",GLA,"2,011",31,"1,100",438,665,480,665,TRUE
Railplan,"4,473",GLA,"2,011",909,"2,601","1,036","1,572","1,135","1,572",TRUE
Railplan,"4,474",GLA,"2,011",324,"1,601",638,968,699,968,TRUE
Railplan,"4,475",GLA,"2,011",863,"2,613","1,040","1,579","1,140","1,579",TRUE
Railplan,"4,476",GLA,"2,011",296,"4,352","1,748","2,616","1,926","2,616",TRUE
Railplan,"4,477",GLA,"2,011","1,650","2,869","1,178","1,585","1,204","1,584",TRUE
Railplan,"4,478",GLA,"2,011",304,"4,571","1,886","2,547","1,936","2,547",TRUE
Railplan,"4,479",GLA,"2,011",492,"4,530","1,869","2,507","1,904","2,507",TRUE
Railplan,"4,480",GLA,"2,011",399,"2,664","1,113","1,617","1,193","1,617",TRUE
Railplan,"4,481",GLA,"2,011",672,"4,010","1,638","2,340","1,644","2,340",TRUE
Railplan,"4,482",GLA,"2,011",455,"3,381","1,380","1,968","1,379","1,968",TRUE
Railplan,"4,483",GLA,"2,011",217,"3,378","1,391","1,995","1,425","1,995",TRUE
Railplan,"4,484",GLA,"2,011",549,"4,511","1,847","2,670","1,927","2,670",TRUE
Railplan,"4,485",GLA,"2,011",254,"2,428","1,003","1,469","1,092","1,469",TRUE
Railplan,"4,486",GLA,"2,011","1,054","4,563","1,835","2,741","2,069","2,741",TRUE
Railplan,"4,487",GLA,"2,011","1,102","4,159","1,661","2,514","1,898","2,514",TRUE
Railplan,"4,488",GLA,"2,011",601,"3,405","1,340","2,088","1,588","2,088",TRUE
Railplan,"4,489",GLA,"2,011","1,393","4,626","1,875","2,649","2,079","2,649",TRUE
Railplan,"4,490",GLA,"2,011","1,178","4,180","1,610","2,423","1,882","2,423",TRUE
Railplan,"4,491",GLA,"2,011","2,400","2,171",907,"1,245",978,"1,245",TRUE
Railplan,"4,492",GLA,"2,011",351,"1,879",756,"1,129",852,"1,129",TRUE
Railplan,"4,493",GLA,"2,011",383,"2,480",997,"1,489","1,124","1,489",TRUE
Railplan,"4,494",GLA,"2,011","1,115","1,629",659,977,739,977,TRUE
Railplan,"4,495",GLA,"2,011",359,"2,754","1,177","1,631","1,254","1,631",TRUE
Railplan,"4,496",GLA,"2,011",157,"1,261",537,747,574,747,TRUE
Railplan,"4,497",GLA,"2,011","1,366","1,935",829,"1,145",881,"1,145",TRUE
Railplan,"4,498",GLA,"2,011",498,"1,926",825,"1,140",877,"1,140",TRUE
Railplan,"4,499",GLA,"2,011","2,220","2,274",974,"1,346","1,036","1,346",TRUE
Railplan,"4,561",GLA,"2,011",67,"4,141","1,296","2,644","1,589","2,644",TRUE
Railplan,"4,562",GLA,"2,011",151,"2,653",831,"1,695","1,020","1,695",TRUE
Railplan,"4,563",GLA,"2,011","1,444","4,642","1,455","2,967","1,782","2,967",TRUE
Railplan,"4,564",GLA,"2,011",201,"4,773","1,495","3,049","1,835","3,049",TRUE
Railplan,"4,565",GLA,"2,011","1,958","3,768","1,224","2,415","1,475","2,415",TRUE
Railplan,"4,566",GLA,"2,011",468,"3,361","1,104","2,155","1,324","2,155",TRUE
Railplan,"4,567",GLA,"2,011","1,073","3,123","1,177","2,025","1,325","2,025",TRUE
Railplan,"4,568",GLA,"2,011",511,"4,420","1,648","2,868","1,862","2,868",TRUE
Railplan,"4,569",GLA,"2,011",512,"4,772","1,561","2,989","1,920","2,989",TRUE
Railplan,"4,570",GLA,"2,011","1,792","4,959","1,617","3,110","1,993","3,110",TRUE
Railplan,"4,571",GLA,"2,011","1,075","5,217","1,685","3,303","2,050","3,304",TRUE
Railplan,"4,572",GLA,"2,011",345,"2,996",948,"1,947","1,109","1,948",TRUE
Railplan,"4,573",GLA,"2,011",218,893,283,580,330,580,TRUE
Railplan,"4,574",GLA,"2,011","2,714","2,263",718,"1,471",836,"1,471",TRUE
Railplan,"4,575",GLA,"2,011","1,269","2,394",758,"1,556",886,"1,556",TRUE
Railplan,"4,576",GLA,"2,011",603,"4,698","1,361","2,923","1,583","2,923",TRUE
Railplan,"4,577",GLA,"2,011",279,"5,999","1,729","3,728","2,004","3,728",TRUE
